cation,anion,crystal structure,TEMP(k),metal radius (A),halide radius (A),Rm/Rx,geo mean of R,pol mean,pol variance,pol skewness,pol kurtosis,cov peak mean,ion peak mean,cov peak var,ion peak var,cov peak skew,ion peak skew,cov peak kurt,ion peak kurt,Real jumps,Num of Sites,Diffusion coeff,Ea (eV)
Ag,I,alpha,500,1.29,2.06,0.626213592,1.630153367,0.626319663,0.014724129,-0.619984724,0.183131048,14.35394327,51.52598431,77.31805182,95.78112626,0.550822302,0.32021894,-0.664878835,-0.61173307,78,71,2.75E-05,0.136
Ag,I,alpha,700,1.29,2.06,0.626213592,1.630153367,0.643293693,0.013964135,-0.573708937,-0.018389382,15.40642126,51.42880378,79.94804642,102.4177776,0.457694846,0.353750049,-0.828574886,-0.644302527,349,68,4.61E-05,0.136
Ag,I,alpha,800,1.29,2.06,0.626213592,1.630153367,0.618986596,0.014773555,-0.569856943,0.066197103,14.69414294,51.14966229,79.30360487,98.70038889,0.548186006,0.38240323,-0.709002606,-0.555263045,344,61,4.99E-05,0.136
Ag,I,alpha,900,1.29,2.06,0.626213592,1.630153367,0.64166544,0.013068297,-0.492481289,-0.064092451,15.75997354,51.87651552,82.35624282,110.6092214,0.399546699,0.320072982,-0.896451847,-0.715895424,633,72,7.84E-05,0.136
Ag,I,beta,400,1.29,2.06,0.626213592,1.630153367,0.449170338,0.01171468,0.164495947,-0.258400732,6.688690077,59.83202878,19.90693439,99.55836439,1.754838061,-0.632917031,4.970205369,-0.107478714,7,51,1.57E-06,0.389
Ag,I,beta,500,1.29,2.06,0.626213592,1.630153367,0.613359325,0.012967254,-0.348953055,-0.090908647,12.77876269,51.80665734,68.32026659,97.8971452,0.805941219,0.30315694,-0.199772118,-0.574252217,196,51,2.21E-05,0.389
Ag,I,beta,600,1.29,2.06,0.626213592,1.630153367,0.638637298,0.013211252,-0.70845543,0.459452542,14.04741907,51.62202488,76.18056151,102.6261171,0.664677272,0.334658226,-0.522286702,-0.584363104,318,79,6.38E-05,0.389
Ag,I,rock salt,700,1.29,2.06,0.626213592,1.630153367,0.571593506,0.012683382,-0.280593409,-0.299760227,15.83905776,54.44419157,80.93820674,123.246853,0.413893468,0.104554633,-0.911074641,-0.979770687,106,39,1.29E-05,0.31
Ag,I,rock salt,900,1.29,2.06,0.626213592,1.630153367,0.592501617,0.014819683,-0.588900054,0.056512237,16.07446754,53.79817514,81.21122756,113.8179267,0.399097586,0.146073262,-0.924360593,-0.873178424,317,39,2.49E-05,0.31
Ag,I,rock salt,1000,1.29,2.06,0.626213592,1.630153367,0.570382849,0.014539373,-0.160832956,-0.022114186,15.70801467,54.31467818,82.43188905,128.4068439,0.401715577,0.546645985,-0.891091028,2.739326456,267,41,3.86E-05,0.31
Ag,I,zb,500,1.29,2.06,0.626213592,1.630153367,0.676484904,0.013693074,-1.059142843,1.033188835,14.5701924,50.24183669,79.14890267,86.34275248,0.583221167,0.382310068,-0.682113711,-0.464276551,112,48,1.72E-05,0.145
Ag,I,zb,700,1.29,2.06,0.626213592,1.630153367,0.638034387,0.011502839,-0.705138444,0.692072256,14.85327855,51.3343906,82.31784481,103.5853769,0.525252199,0.348903531,-0.791886302,-0.705548805,213,42,4.43E-05,0.145
Ag,I,zb,1000,1.29,2.06,0.626213592,1.630153367,0.650898126,0.01196461,-0.599352388,0.20304202,15.57264143,50.98479517,83.0783958,101.5913123,0.387670289,0.63405385,-0.929999317,1.518630332,238,51,9.22E-05,0.145
Cu,I,alpha,500,0.91,2.06,0.441747573,1.369160327,0.731560895,0.011505667,-1.000563782,1.172307728,16.0083839,49.21046392,92.63268724,84.68806865,0.386548955,0.681893752,-1.06237152,0.205189216,253,74,9.91E-06,0.174
Cu,I,alpha,700,0.91,2.06,0.441747573,1.369160327,0.705330171,0.011640195,-0.892189886,0.640960493,15.94338419,50.77355148,88.2787995,102.4901572,0.385869728,0.503028334,-1.004464121,-0.397771924,465,68,3.38E-05,0.174
Cu,I,alpha,900,0.91,2.06,0.441747573,1.369160327,0.704830785,0.01304123,-0.735713178,0.617881938,16.80742292,49.9807592,89.9170601,97.79438586,0.285062655,0.561065347,-1.079347005,-0.28040928,664,67,5.87E-05,0.174
Cu,I,beta,600,0.91,2.06,0.441747573,1.369160327,0.74690331,0.0064125,-2.149095272,7.668809696,13.22401552,49.8405834,81.38501794,70.37954822,0.816319411,0.200322261,-0.420382188,-0.535512744,121,60,6.93E-06,0.551
Cu,I,beta,700,0.91,2.06,0.441747573,1.369160327,0.688055011,0.014690936,-0.844855821,0.443430801,14.89681712,50.77007118,86.08894381,89.7562285,0.535119367,0.416595922,-0.848141818,-0.279894711,204,69,1.81E-05,0.551
Cu,I,beta,800,0.91,2.06,0.441747573,1.369160327,0.740445901,0.010168267,-0.79722839,1.133273735,16.35728653,49.20219147,91.26064309,86.34595866,0.312378892,0.625218523,-1.097840791,0.084426326,147,78,2.39E-05,0.551
Cu,I,zb,500,0.91,2.06,0.441747573,1.369160327,0.742883634,0.006948256,-1.052509357,1.693868045,15.70758858,48.32280934,86.72632549,61.64373743,0.401977051,0.294211389,-0.975592379,-0.63187296,156,64,1.20E-06,0.35
Cu,I,zb,700,0.91,2.06,0.441747573,1.369160327,0.72529383,0.010192583,-1.398693647,2.510978599,17.36110051,49.36716353,86.03356438,80.81785835,0.20676372,0.484785308,-1.086611673,-0.269267665,196,44,1.56E-05,0.35
Cu,I,zb,900,0.91,2.06,0.441747573,1.369160327,0.72796095,0.009237306,-0.950846119,1.621644217,16.59713481,49.03730221,88.54080678,81.96274864,0.327980808,0.563259771,-1.060395493,-0.173341788,317,45,4.22E-05,0.35
Ag,Cl,alpha,500,1.29,1.81,0.712707182,1.528037958,0.469372909,0.007919422,-0.465702365,0.192421645,15.00072172,55.2895269,83.08809521,118.4428588,0.513093196,-0.032238701,-0.814211347,-0.961672854,582,25,5.06E-05,0.052
Ag,Cl,alpha,600,1.29,1.81,0.712707182,1.528037958,0.474101513,0.007987587,-0.043074396,-0.19720841,15.24363053,54.69774058,85.74778378,130.0234753,0.472675967,0.078058675,-0.867406651,-1.044204928,494,27,6.07E-05,0.052
Ag,Cl,alpha,700,1.29,1.81,0.712707182,1.528037958,0.454112564,0.008292183,-0.332827856,-0.49420629,15.78243308,54.40787957,79.45620253,124.9606112,0.421140356,0.152141478,-0.84619765,-0.969087812,160,20,7.18011E-05,0.052
Ag,Cl,rock salt,800,1.29,1.81,0.712707182,1.528037958,0.415962982,0.008148884,0.080992479,0.131004995,15.91196075,57.34850465,84.65061925,126.2608697,0.378027471,-0.155175901,-0.962738994,-0.936990879,22,32,5.03E-06,0.66
Ag,Cl,rock salt,900,1.29,1.81,0.712707182,1.528037958,0.421883436,0.008492151,-0.252257833,-0.197184562,15.97671156,56.76010838,80.40188029,122.134599,0.387851486,-0.120638437,-0.89205539,-0.91507677,11,32,5.19E-06,0.66
